name,type,source_titles_match,source_values_match,description
reference_date,string,meta:peildatum,,Date of measurement
reference_year,integer,,,
board_id,string,BEVOEGD GEZAG,,
brin,string,BRIN NUMMER,,
function_group,string,FUNCTIEGROEP,,
fte,number,FTE'S (?P<reference_year>\d+),,
fte_male,number,FTE'S MANNEN (?P<reference_year>\d+),,
fte_female,number,FTE'S VROUWEN (?P<reference_year>\d+),,
fte_gender_unknown,number,FTE'S GESLACHT ONBEKEND(?P<reference_year>\d+),,
fte_mean,number,GEMIDDELDE FTE'S (?P<reference_year>\d+),,
fte_temp,number,FTE'S PERSONEN IN TIJDELIJKE DIENST (?P<reference_year>\d+),,
fte_perm,number,FTE'S PERSONEN IN VASTE DIENST (?P<reference_year>\d+),,
fte_age_range,string,,,
fte_age_count,number,FTE'S PERSONEN (?P<fte_age_range>.+) JAAR (?P<reference_year>\d+),,
fte_age_count,number,(?P<fte_age_range>LEEFTIJD ONBEKEND) (?P<reference_year>\d+),,
fte_workload_range,string,,,
fte_workload_count,number,FTE'S PERSONEN (?P<fte_workload_range>.+) FTE'S (?P<reference_year>\d+),,
age_mean,number,GEMIDDELDE LEEFTIJD (?P<reference_year>\d+),,
age_mean_male,number,GEMIDDELDE LEEFTIJD MAN (?P<reference_year>\d+),,
age_mean_female,number,GEMIDDELDE LEEFTIJD VROUW (?P<reference_year>\d+),,
