name,type,source_titles_match,source_values_match,description
reference_year,integer,,,
board_id,string,BEVOEGD GEZAG,,
brin,string,BRIN NUMMER,,
function_group,string,FUNCTIEGROEP,,
staff,integer,PERSONEN (?P<reference_year>\d+),,
staff_male,integer,MANNEN (?P<reference_year>\d+),,
staff_female,integer,VROUWEN (?P<reference_year>\d+),,
staff_gender_unknown,integer,GESLACHT ONBEKEND(?P<reference_year>\d+),,
fte_mean,number,GEMIDDELDE FTE'S (?P<reference_year>\d+),,
staff_temp,integer,PERSONEN IN TIJDELIJKE DIENST (?P<reference_year>\d+),,
staff_perm,integer,PERSONEN IN VASTE DIENST (?P<reference_year>\d+),,
staff_age_range,string,,,
staff_age_count,integer,PERSONEN (?P<staff_age_range>.+) JAAR (?P<reference_year>\d+),,
staff_age_count,integer,(?P<staff_age_range>LEEFTIJD ONBEKEND) (?P<reference_year>\d+),,
staff_workload_range,string,,,
staff_workload_count,integer,PERSONEN (?P<staff_workload_range>.+) FTE'S (?P<reference_year>\d+),,
age_mean,number,GEMIDDELDE LEEFTIJD (?P<reference_year>\d+),,
age_mean_male,number,GEMIDDELDE LEEFTIJD MAN (?P<reference_year>\d+),,
age_mean_female,number,GEMIDDELDE LEEFTIJD VROUW (?P<reference_year>\d+),,
