name,type,source_titles_match,source_values_match,description
reference_date,string,meta:peildatum,(?P<reference_year>\d+).*,Date of measurement
reference_year,,,,
brin,string,BRIN ?NUMMER,,
branch_id,integer,VESTIGINGSNUMMER,,
department,string,AFDELING,,Optional. Department of a vmbo track.
elementcode,integer,ELEMENTCODE,,Elementcode
education_name,string,OPLEIDINGSNAAM,,Name of the education programme.
education_structure,string,ONDERWIJSTYPE VO EN LEER- OF VERBLIJFSJAAR,,Level of education [#edu_in_holland]_.
lwoo,integer,LWOO INDICATIE,,"Indicates whether this sector supports 'Leerwegondersteunend onderwijs', for students who need additional guidance [#lwoo]_."
vmbo_sector,string,VMBO SECTOR,,Vmbo sector [#sectors]_.
year,integer,,,
female,integer,LEER- OF VERBLIJFSJAAR (?P<year>\d+) - VROUW,,Female
male,integer,LEER- OF VERBLIJFSJAAR (?P<year>\d+) - MAN,,Male
total,integer,,,Total
