name,type,source_titles_match,source_values_match,description
reference_date,string,meta:peildatum,(?P<reference_year>\d+).*,Date of measurement
reference_year,,,,
brin,string,.+?voortgezet.+?\nBRIN.?NUMMER,,
branch_id,integer,.+?voortgezet.+?\nVESTIGING?S.?NUMMER,,
from_po_brin,string,.+?primair.+?\nBRIN.?NUMMER,,
from_po_branch_id,integer,.+?primair.+?\nVESTIGING?S.?NUMMER,,
in_flow,integer,.*?\nAANTAL DOORSTROMERS,,
