name,type,source_titles_match,source_values_match,description
reference_date,string,meta:peildatum,(?P<reference_year>\d+).*,Date of measurement
reference_year,,,,
brin,string,BRIN ?NUMMER,,
branch_id,integer,VESTIGINGSNUMMER,,
city,string,PLAATSNAAM LEERLING,,City
municipality,string,GEMEENTENAAM LEERLING,,Municipality
municipality_code,integer,GEMEENTENUMMER LEERLING,,Municipality Code
postal_code,string,POSTCODE LEERLING,,The postal code where these pupils live.
year,,,,The grade year or the number of years the student will have been at this school
students,integer,LEER- OF VERBLIJFSJAAR (?P<year>\d+),,
