brin;vestnr;opbrengst_bb;opbrengst_kb;opbrengst_gt;opbrengst_ha;opbrengst_vw
20CI;0;7;7;7;7;1
20CJ;0;7;7;1;1;0
20CJ;4;1;1;7;7;7
20CJ;11;7;7;9;7;7
20CK;0;7;7;7;7;1
20CL;0;7;7;1;1;9
20CM;0;9;7;0;1;0
20CM;1;9;9;1;7;7
20CM;2;7;7;1;7;7
20CM;3;7;7;1;7;7
20CM;7;9;1;1;7;7
20CM;9;9;1;9;7;7
20CM;10;7;7;7;7;7
20CN;0;7;7;7;1;1
20CN;2;1;1;1;7;7
20CP;0;1;1;1;7;7
20CP;4;7;7;7;1;1
20CQ;0;1;1;1;1;0
20CQ;1;1;1;0;0;1
20CR;0;7;7;7;1;1
20CR;1;1;1;0;9;7
20CR;3;6;0;0;7;9
20CS;0;7;7;1;1;1
20CS;4;1;1;9;7;7
20DB;0;7;7;1;1;1
20DB;3;6;6;7;7;7
20DC;0;7;7;7;7;1
20DD;0;7;7;7;7;1
20DF;0;7;7;1;1;1
20DF;1;1;0;1;7;7
20DG;0;7;7;7;7;1
20DH;0;1;1;1;1;0
20DL;0;7;7;7;0;0
20DL;1;7;7;9;6;9
20DL;2;7;7;7;7;1
20DL;3;1;0;7;7;7
20DL;4;7;7;6;7;7
20DL;6;7;7;1;1;0
20DL;10;7;7;0;1;6
20DL;11;7;7;1;9;7
20DL;12;7;7;1;9;7
20DP;0;7;7;7;7;1
20EA;0;7;7;1;1;1
20EI;0;7;7;1;1;1
20EI;1;1;1;1;7;7
20EI;3;7;7;1;1;6
20EK;0;1;1;1;1;1
20EM;0;7;7;1;1;0
20EM;1;7;7;7;9;9
20EM;3;1;1;1;1;9
20EM;4;9;9;9;7;7
20EO;0;7;7;1;1;1
20ER;0;1;1;1;9;9
20ER;1;7;7;7;9;9
20ER;4;7;7;9;1;1
20ER;5;7;7;7;9;9
20EY;0;7;7;7;1;1
20EY;7;1;1;1;7;7
20FC;0;9;1;1;7;7
20FR;0;7;7;1;1;0
20FR;2;7;7;0;0;0
20FR;3;1;1;0;7;7
20FR;4;1;1;1;7;7
20FR;6;7;7;1;1;1
20FR;7;7;7;1;9;9
20FR;8;7;7;1;7;7
20GA;0;7;7;7;1;1
20GD;0;0;0;1;7;7
20GD;1;9;7;9;7;7
20GS;0;1;1;1;1;1
20IB;0;7;7;1;1;1
20IB;3;1;1;1;7;7
20IS;0;7;7;7;1;1
20IS;4;1;1;1;7;7
20IS;6;9;7;9;7;7
20JX;0;7;7;1;1;1
20JX;2;7;7;1;1;1
20JX;3;7;7;1;7;7
20JX;4;1;0;0;7;7
20JX;9;9;0;9;7;7
20KA;0;1;1;1;1;1
20KQ;0;7;7;1;1;1
20KQ;4;1;1;1;0;1
20KZ;0;7;7;7;7;1
20LA;0;7;7;7;1;0
20LA;2;1;1;1;7;7
20LA;3;7;7;1;7;7
20LA;5;0;1;7;7;7
20LA;6;9;1;1;7;7
20LA;7;9;1;1;7;7
20LL;0;1;1;1;1;1
20LO;0;7;7;7;1;1
20LO;1;7;7;1;7;7
20LO;2;7;7;1;7;7
20LO;3;7;7;1;7;7
20LO;4;1;1;1;7;7
20LU;0;7;7;7;7;1
20MA;0;7;7;1;1;1
20MD;0;7;7;7;1;1
20MF;0;7;7;7;1;1
20MH;0;7;7;1;1;1
20MJ;0;0;0;1;6;6
20MJ;2;9;1;0;1;7
20MM;0;1;1;0;7;7
20MM;1;7;7;1;1;1
20MM;6;1;1;1;7;7
20MM;7;1;1;7;7;7
20QU;0;7;7;7;7;1
20QY;0;7;7;7;7;1
20RC;0;7;7;1;1;1
20RF;0;7;7;1;1;1
20RM;0;7;7;7;7;1
20ST;0;7;7;1;1;1
20SY;0;7;7;1;1;0
20TZ;0;7;7;1;1;1
20TZ;4;9;0;0;0;6
20TZ;7;1;1;0;7;7
20WI;0;7;7;1;1;1
20ZK;0;0;0;0;7;7
20ZK;2;7;7;1;1;1
20ZK;4;7;7;7;1;1
21AB;0;7;7;7;7;1
21AF;0;7;7;7;7;1
21AS;0;7;7;7;0;0
21AS;3;1;1;7;7;7
21AS;7;7;7;0;7;7
21BH;0;7;7;1;1;1
21CS;1;1;1;1;7;7
21CS;2;1;1;1;7;7
21CS;3;1;1;0;7;7
21CS;5;7;7;1;7;7
21CY;2;1;1;0;7;7
21CY;3;1;1;0;7;7
21CY;5;1;1;1;7;7
21CY;7;1;1;0;7;7
21ET;0;7;7;7;1;1
21ET;2;7;7;1;7;7
21ET;4;1;1;1;7;7
21ET;7;6;6;9;7;7
21ET;8;7;7;1;9;7
21EX;0;7;7;7;1;1
21FF;0;9;1;1;1;0
21FV;0;7;7;7;1;1
21GD;0;7;1;1;1;1
21GU;0;7;7;1;1;0
21GU;4;1;1;7;7;7
21GU;6;1;1;7;7;7
21GU;7;7;1;1;1;0
21GU;8;1;1;1;7;7
21GV;0;1;1;1;1;1
21GW;0;7;7;1;1;1
21GW;1;7;7;1;9;9
21GW;2;7;7;7;1;1
21GW;3;1;1;1;7;7
21GZ;0;1;1;1;1;1
21GZ;6;1;1;1;7;7
21HC;0;7;7;1;1;1
21HC;1;1;1;7;7;7
21HC;3;7;7;7;1;1
21HC;4;7;7;1;7;7
21HC;5;7;7;7;9;9
21HC;8;7;7;7;7;7
21HC;12;7;7;1;7;7
21SK;0;7;7;1;1;1
21SK;1;1;1;1;7;7
21SK;2;9;7;7;7;7
21SK;3;7;7;6;7;7
21VB;0;1;1;7;7;7
21WE;0;7;7;1;1;1
22NE;0;7;7;1;1;1
23AP;0;1;1;0;7;7
23FX;0;7;7;1;1;0
23FY;0;1;1;7;7;7
23GF;0;7;7;9;9;9
23HC;0;1;1;1;7;7
23HC;1;7;7;7;1;1
23JA;1;1;1;0;7;7
23KU;0;7;7;1;1;0
23VD;0;1;1;0;7;7
23VL;0;1;1;1;1;1
23VL;1;7;7;9;7;7
23VL;2;7;7;9;7;7
23VL;3;7;7;7;7;7
23WU;0;1;1;1;7;7
23YU;0;1;7;7;7;7
23YU;1;1;1;7;7;7
23YU;2;7;7;0;1;0
23YU;4;7;7;1;7;7
23YU;8;7;1;6;7;7
24PY;0;7;7;7;9;0
24PY;2;0;0;0;7;7
24PY;5;7;7;1;1;7
24RW;0;0;1;1;1;0
24RW;3;6;6;6;7;7
24RW;4;7;7;6;6;9
24TF;0;7;7;1;1;1
24TF;1;7;7;7;7;7
24TF;2;6;6;6;7;7
24TG;0;7;7;1;1;1
24TG;4;6;6;7;7;7
24TJ;0;6;0;9;7;7
24TJ;2;7;7;7;0;0
24TP;0;7;7;1;1;0
24TP;2;1;1;1;7;7
24TR;0;7;0;7;1;0
24TR;3;1;1;1;7;7
24TR;4;7;7;7;7;7
24TR;5;1;0;0;7;7
25CL;0;7;7;9;1;1
25CL;1;1;1;0;7;7
25CL;3;7;7;1;1;9
25CM;0;1;1;1;7;7
25CM;4;7;7;7;1;1
25CM;7;7;7;1;9;9
25CM;8;7;7;1;9;7
25CR;0;0;1;1;1;0
25CR;7;7;7;1;7;7
25CR;8;7;7;1;7;7
25CV;0;7;7;7;1;1
25CV;1;7;7;7;7;7
25CV;2;1;1;1;7;7
25CV;3;7;7;1;9;9
25DA;0;7;7;1;0;1
25DA;2;7;7;1;1;1
25DA;4;9;1;1;7;7
25DA;8;1;1;0;7;7
25DA;9;1;1;0;7;7
25EF;1;1;0;0;7;7
25EF;2;1;1;1;7;7
25EF;3;1;1;6;7;7
25EF;4;1;1;1;7;7
25EF;5;1;1;9;7;7
25EF;6;1;1;0;7;7
25EF;8;1;0;0;7;7
25EF;9;1;1;0;7;7
25FU;0;7;7;1;7;7
25FU;7;6;6;1;7;7
25FU;8;7;9;1;7;7
25FX;0;7;7;7;1;1
25FX;1;1;1;1;7;7
25FY;0;1;1;1;1;1
25GA;0;7;7;0;1;1
25GA;1;1;1;0;7;7
25GB;0;1;1;0;1;0
25GC;0;7;7;1;1;1
25GC;1;1;1;1;7;7
25GC;2;7;7;7;1;1
25GC;3;7;7;1;9;9
25GC;8;7;7;1;9;9
25GC;9;1;1;1;7;7
25GC;10;7;7;1;7;7
25GD;0;1;1;7;7;7
25GD;1;7;7;1;0;1
25GE;0;7;7;1;1;1
25GE;2;1;1;7;7;7
25GE;4;7;7;0;7;7
25GF;0;1;1;1;1;1
25GL;0;7;7;7;1;1
25GL;4;1;1;0;7;7
25GL;6;7;7;1;1;7
25GM;0;1;1;1;1;0
25GV;1;1;1;1;7;7
25GV;5;1;0;0;7;7
25GV;7;1;1;1;7;7
25GV;8;1;1;0;7;7
25GV;9;1;1;1;7;7
25GV;10;1;1;1;7;7
25GV;11;7;7;1;7;7
25KX;0;7;7;7;1;1
25LV;13;1;1;0;7;7
25LV;19;1;0;1;7;7
25LW;0;1;1;1;7;7
25LW;42;1;0;1;0;1
25LW;43;7;7;1;7;7
25LX;33;1;1;1;7;7
25LX;41;7;7;1;7;7
25MB;35;7;7;1;0;7
25MG;0;1;1;1;1;1
25MG;3;7;1;1;7;7
26CC;5;1;1;0;7;7
26CC;6;1;1;1;7;7
26CC;8;1;1;1;7;7
26CC;13;1;0;0;7;7
27DG;0;7;7;1;1;1
27JY;0;0;1;1;1;1
27MD;0;7;7;7;1;1
27MD;1;7;7;1;7;7
27MD;2;1;0;7;7;7
27RW;0;7;7;1;1;0
27VD;0;1;1;1;7;7
27VG;0;7;7;7;1;1
27VG;1;1;1;1;7;7
27ZF;0;7;7;7;1;1
27ZH;0;1;1;1;7;7
27ZH;2;7;7;7;1;1
27ZJ;0;7;7;0;1;1
27ZJ;1;0;0;0;7;7
28AC;0;7;7;1;1;6
28DB;0;7;7;7;9;9
28DH;0;7;1;1;6;9
29WG;0;7;7;9;9;9
29YT;1;7;7;1;7;7
29YT;2;9;6;6;7;7
29ZT;0;7;7;7;7;7
30AU;0;9;6;6;9;9
30BC;0;1;1;0;7;7
30BE;0;7;7;7;7;7
30EU;0;7;7;1;9;9
30GC;0;7;7;7;7;6
30GD;0;7;7;7;7;6
30JN;0;7;7;1;7;7
