brin;vestnr;opbrengst_bb;opbrengst_kb;opbrengst_gt;opbrengst_ha;opbrengst_vw
02KB;2;7;7;1;7;7
02KM;0;1;1;6;7;7
02KR;0;7;7;1;7;7
02LB;0;1;1;7;7;7
02LB;1;9;7;7;7;7
02LB;8;7;7;0;0;0
02LG;0;1;1;7;7;7
02LG;3;7;9;0;9;9
02LG;6;7;7;1;0;0
02ME;0;1;1;1;7;7
02ME;1;7;7;1;1;1
02ME;2;7;7;1;1;0
02MF;0;1;0;0;7;7
02MU;0;7;7;1;1;1
02MY;0;1;1;1;7;7
02NZ;0;7;7;1;1;1
02NZ;1;1;1;0;7;7
02PA;0;1;1;0;7;7
02QN;0;7;7;7;1;0
02QN;2;1;1;1;7;7
02QO;0;7;7;7;7;1
02QP;0;7;7;7;7;1
02QQ;0;7;7;7;1;7
02QT;0;7;7;1;1;0
02QT;2;1;1;7;7;7
02QX;0;7;7;7;1;0
02QX;1;7;7;1;7;7
02QX;3;1;1;7;7;7
02QX;6;7;7;7;7;7
02QX;7;7;7;7;7;7
02QZ;0;7;7;7;1;1
02RA;0;7;7;7;1;1
02RA;1;1;1;1;7;7
02RA;2;7;7;1;9;9
02RA;3;7;7;1;9;9
02SB;0;7;7;7;1;1
02ST;0;7;7;1;1;1
02ST;3;1;1;7;7;7
02ST;4;1;1;0;7;7
02ST;5;7;7;1;7;7
02SY;0;7;7;1;1;1
02TC;0;7;7;7;1;1
02TC;3;1;0;0;7;7
02TC;4;7;7;1;1;9
02TD;0;7;7;1;1;0
02TD;3;1;0;7;7;7
02TD;4;7;7;1;9;9
02TE;0;7;7;1;1;1
02TG;0;7;7;7;1;1
02TH;0;7;7;7;1;1
02TZ;0;7;7;7;1;0
02UB;0;7;7;7;1;1
02UC;0;7;7;7;7;1
02UE;0;7;7;7;1;1
02UG;0;7;7;7;1;0
02UP;0;7;7;1;1;1
02US;0;7;7;1;1;0
02UT;0;7;7;7;1;1
02UV;0;1;1;1;1;1
02UV;2;7;7;1;9;9
02UV;3;7;7;1;9;9
02UV;4;7;7;1;9;9
02UV;5;7;7;1;9;9
02UX;0;1;1;1;1;1
02UX;1;1;1;1;9;9
02UX;6;1;1;1;1;9
02VA;0;7;7;1;1;1
02VA;2;1;1;7;7;7
02VB;0;7;7;7;1;1
02VB;1;7;7;7;7;7
02VB;2;1;1;1;1;1
02VB;3;7;7;7;7;7
02VB;7;1;1;1;7;7
02VC;0;7;7;7;1;1
02VC;2;1;0;7;7;7
02VC;3;7;7;6;7;7
02VD;0;7;7;1;0;1
02VD;2;1;1;7;7;7
02VD;4;7;7;1;9;9
02VD;5;7;7;1;9;9
02VE;0;7;7;1;1;1
02VG;0;7;7;7;0;0
02VG;3;7;7;7;1;7
02VG;4;7;7;0;7;7
02VG;5;1;1;0;7;7
02VG;8;1;0;7;7;7
02VG;10;7;7;9;7;7
02VG;11;1;9;7;7;7
02VG;14;7;7;1;7;7
02VG;15;7;7;1;7;7
02VG;17;7;7;1;7;7
02VG;22;7;7;7;6;9
02VG;25;1;1;7;7;7
02VG;26;7;7;7;9;9
02VJ;0;7;7;1;1;0
02VJ;1;1;1;1;9;9
02VJ;2;7;7;1;9;9
02VJ;6;7;7;1;9;9
02VM;0;7;7;1;1;1
02VN;0;7;7;7;1;0
02VN;1;1;1;1;7;7
02VO;0;7;7;7;7;1
02VQ;0;7;7;7;1;1
02VQ;1;1;1;1;7;7
02VR;0;7;7;1;1;1
02VR;2;1;1;7;7;7
02VR;4;7;7;0;1;1
02VR;5;7;7;1;6;9
02VS;0;7;7;1;1;1
02VT;0;7;7;7;1;1
02VT;1;6;6;1;9;9
02VT;2;1;1;0;7;7
02VT;4;7;7;1;9;9
02VT;5;7;7;7;1;1
02VT;6;7;7;1;9;9
02XE;0;7;7;1;7;7
02XJ;0;7;7;7;1;0
02XJ;1;1;1;1;7;7
02XJ;2;0;1;1;9;9
02XQ;0;7;7;9;7;7
02XS;0;7;7;1;1;1
02YH;0;7;7;1;7;7
02ZC;0;7;7;7;7;1
02ZR;0;7;7;7;1;1
02ZR;2;7;7;7;7;7
02ZR;3;1;1;1;7;7
03AM;0;7;7;7;7;1
03AQ;0;1;1;1;1;1
03FO;0;7;7;1;1;1
03FO;1;1;1;0;7;7
03FO;2;7;7;0;7;7
03FO;4;0;9;9;7;7
03JY;0;7;7;1;1;1
03JY;1;7;7;1;7;7
03JY;2;1;1;7;7;7
03JY;3;7;7;1;7;7
03JY;6;7;7;1;7;7
03KN;0;1;1;1;1;1
03OY;0;7;7;1;1;0
03RB;0;1;1;1;1;1
03RR;0;1;0;1;1;0
03RU;0;1;1;1;1;1
03WO;0;7;7;7;1;1
03WO;1;1;1;1;7;7
03WO;2;1;1;1;6;9
03WO;3;7;7;7;7;9
03XF;0;7;7;7;1;1
03XF;3;7;7;1;7;7
03XF;4;1;1;0;7;7
03XM;0;7;7;1;1;1
03XS;0;7;7;7;1;1
03XS;3;7;7;1;7;7
03XS;7;1;1;1;7;7
04DF;0;7;7;1;1;1
04DF;1;1;1;1;9;7
04DS;0;7;7;7;7;1
04GU;0;1;1;1;1;1
04GU;3;9;9;1;9;7
04HR;0;7;7;7;1;1
04HR;4;1;1;1;7;7
04IX;0;7;7;7;1;1
04IX;1;1;1;1;7;7
04OY;0;1;1;1;7;7
04OY;2;7;7;7;1;1
04SU;0;7;7;7;1;1
04SU;2;1;1;1;7;7
04XU;0;1;1;1;7;7
04YE;0;1;1;1;7;7
04YE;1;7;7;1;9;7
04YE;2;1;1;1;7;7
04YE;3;7;7;7;1;1
04YE;8;7;7;7;7;7
04YX;0;1;1;1;7;7
04YX;2;1;1;0;7;7
05AC;0;1;1;7;7;7
05AV;0;1;1;1;7;7
05AV;1;7;7;7;1;1
05AV;2;7;7;7;1;1
05AV;3;7;7;1;7;7
05AV;4;7;7;7;7;7
05AX;0;1;1;1;7;7
05EA;0;1;1;9;7;7
05FB;0;7;7;1;1;1
05FB;1;1;1;1;9;9
05FB;2;7;7;7;9;9
05FE;0;1;1;1;7;7
05FF;0;7;7;1;1;1
05FJ;0;1;1;7;7;7
05FJ;1;7;7;1;7;7
05OH;0;1;1;7;7;1
05OH;3;7;7;1;1;7
05PL;0;7;7;1;1;1
05RA;0;7;7;1;1;1
05RA;1;7;7;1;9;7
05TA;0;7;7;1;1;1
05XJ;0;7;7;7;0;0
06HF;0;7;7;7;1;1
06HF;2;1;1;1;7;7
06SU;0;7;7;1;1;1
06WY;0;1;1;0;7;7
06XL;0;1;1;1;1;0
07BQ;0;7;7;7;1;7
07FH;0;7;7;1;1;1
07KP;0;1;1;1;7;7
07MU;0;7;7;1;0;0
07PK;0;7;7;7;1;1
07PK;4;7;7;1;9;7
07PK;5;0;0;0;7;7
07PK;7;7;7;1;7;7
08CU;0;7;7;7;1;1
08LP;0;7;7;1;0;1
08SG;0;7;7;1;0;0
08SG;1;1;1;1;7;7
08SG;6;7;7;1;1;1
08TX;0;7;7;1;0;0
08VU;0;7;7;1;1;1
09VG;0;1;1;7;7;7
09VK;0;1;1;7;7;7
10AN;0;9;1;1;1;1
10LU;0;7;7;1;1;1
11NY;0;7;7;7;1;1
11UL;1;1;0;1;7;7
11UL;2;1;1;1;7;7
11UL;3;1;1;1;7;7
11ZH;0;7;7;1;0;1
11ZH;1;1;0;7;7;7
12IR;0;0;1;1;1;1
12IR;5;7;7;1;6;7
12RB;0;1;1;1;1;0
12VI;1;1;1;1;7;7
12VI;2;1;1;0;7;7
12VI;8;1;0;1;7;7
12VI;13;1;1;0;7;7
13EE;0;7;7;1;1;1
13JO;0;1;1;1;1;0
13OR;0;7;7;1;1;1
13OR;1;1;1;7;7;7
13OR;3;1;1;1;1;1
13PE;0;7;7;7;1;1
13PE;1;1;1;1;7;7
13US;0;1;0;0;7;7
13WH;0;7;7;1;1;1
13ZU;0;7;7;1;1;1
13ZU;2;9;9;9;7;7
13ZU;3;9;7;7;7;7
14DC;0;1;1;0;0;0
14DC;2;1;1;1;7;7
14FW;0;7;7;7;1;1
14FW;1;7;7;7;7;7
14FW;2;1;1;1;7;7
14FW;4;7;7;1;9;7
14FW;5;7;7;1;9;7
14LF;0;7;7;1;1;0
14LF;1;7;7;1;7;7
14NQ;0;7;7;7;1;1
14NS;0;1;1;1;1;7
14OY;0;7;7;0;1;1
14PS;0;7;7;1;1;1
14PS;2;1;1;1;7;7
14PS;3;7;9;1;7;7
14QT;0;7;7;7;7;1
14RC;0;7;7;1;1;1
14RC;3;7;7;1;9;9
14RC;4;7;7;1;1;1
14RC;6;1;1;0;7;7
14RF;0;7;7;7;1;1
14RF;3;1;1;1;7;7
14RF;4;1;1;9;7;7
14RF;6;7;7;7;7;1
14RL;0;1;0;7;7;7
14RL;3;9;9;7;7;7
14RL;4;9;9;7;7;7
14RP;0;7;7;1;0;0
14RP;1;7;7;1;1;0
14RP;2;1;0;9;7;7
14RP;3;1;9;1;7;7
14RP;4;7;7;1;9;7
14RP;5;7;7;1;9;7
14RR;0;7;7;1;1;1
14RR;1;1;1;7;7;7
14SE;0;7;7;7;1;1
14SF;0;1;1;7;7;7
14SF;1;7;7;7;1;1
14SF;3;7;7;1;7;7
14SM;0;7;7;7;1;1
14SM;2;7;7;1;7;7
14SM;3;7;7;1;1;1
14SM;4;7;7;1;1;1
14SM;5;0;1;1;7;7
14SM;14;7;7;7;7;7
14SW;0;7;7;0;0;0
14SZ;0;7;7;1;1;1
14TA;0;7;7;7;1;1
14TD;0;7;7;1;1;1
14UM;0;7;7;1;1;1
14UM;2;1;1;1;7;7
14VG;0;7;7;7;1;1
14VY;0;7;7;1;1;0
14WE;0;7;7;1;1;1
14WI;0;7;7;7;7;1
14WJ;0;7;7;1;1;1
14WL;0;7;7;1;1;1
14YD;3;1;1;1;7;7
14YD;6;1;1;0;7;7
14YD;9;7;7;1;7;7
15BH;0;1;1;6;7;7
15BH;1;7;7;7;0;1
15BH;2;7;7;0;9;7
15BH;4;7;7;1;9;7
15BS;0;1;1;1;1;1
15EO;0;7;7;1;1;1
15HX;0;7;7;7;1;1
15HX;2;1;1;0;7;7
15HX;3;7;7;1;7;7
15HX;5;9;7;7;7;7
15JM;0;7;7;7;7;1
15KR;0;7;7;7;1;1
15KR;5;7;7;1;1;1
15KR;6;7;7;7;1;6
15KR;9;7;7;7;7;7
15KR;10;7;7;1;9;9
15KR;12;9;9;9;7;7
15OM;0;7;7;1;1;1
15OM;1;1;1;7;7;7
15QW;0;9;1;1;1;0
15SC;0;7;7;7;7;1
15VQ;0;1;1;1;1;1
15XV;0;7;7;1;0;1
15XV;1;1;1;7;7;7
16AW;0;1;1;1;7;7
16AW;1;7;7;0;1;0
16CX;0;7;7;7;1;1
16CX;4;1;1;7;7;7
16CX;8;7;7;1;7;7
16EI;0;7;7;7;0;0
16FP;0;1;1;0;1;1
16GZ;0;7;1;1;1;1
16GZ;1;1;0;7;7;7
16IH;0;6;0;1;0;0
16IH;2;7;7;7;7;7
16JO;0;1;1;1;1;1
16KP;0;0;1;1;1;0
16MQ;0;7;7;1;1;1
16NK;0;7;7;9;1;1
16NK;1;7;7;9;1;1
16OX;0;1;1;1;1;1
16OX;1;7;7;0;0;6
16OX;2;7;7;7;1;1
16OX;3;7;7;1;7;7
16OX;4;7;7;1;7;7
16OX;5;7;7;1;9;7
16OX;10;7;7;1;7;7
16PA;0;7;7;7;7;1
16PE;0;7;7;1;1;1
16PE;1;1;1;9;7;7
16PI;0;1;1;1;1;1
16PK;0;7;7;7;1;0
16PK;4;1;0;7;7;7
16PK;5;7;7;1;7;7
16PK;7;7;7;1;7;7
16PK;8;9;1;1;7;7
16PK;9;7;7;1;1;0
16PK;10;7;7;1;0;9
16PN;0;7;7;1;1;1
16PS;0;7;7;1;1;0
16PS;4;7;7;9;6;7
16PS;7;7;7;0;0;0
16PS;8;1;1;1;7;7
16PS;16;7;7;7;9;9
16QA;0;7;7;7;1;1
16QA;1;1;1;1;7;7
16QH;0;7;7;1;1;1
16QN;0;7;7;7;7;1
16RB;0;7;7;7;1;1
16RF;0;7;7;7;1;1
16RH;0;7;7;7;1;1
16RT;0;7;7;1;1;1
16RT;1;1;1;1;9;7
16SK;0;1;1;1;1;1
16SK;1;7;7;1;9;9
16SL;0;7;7;7;1;1
16ST;0;7;7;1;1;1
16SW;0;7;7;7;1;1
16SW;3;1;1;1;9;9
16SW;5;1;1;1;7;7
16TS;0;7;7;9;1;1
16TS;2;7;7;9;1;1
16TS;3;7;7;9;0;1
16TV;0;7;7;9;1;0
16TV;1;7;7;9;1;1
16TV;2;7;7;9;1;1
16VI;0;7;7;1;1;0
16VI;1;1;1;1;7;9
16VK;0;7;7;1;1;1
16VK;1;1;1;1;7;7
16VK;2;7;7;0;7;7
16VK;3;1;1;1;1;1
16VM;0;1;1;1;7;7
16VM;4;7;7;7;7;7
16VP;0;1;1;1;0;0
16XD;0;1;1;1;1;1
16YC;0;1;1;1;1;1
16YV;0;7;7;1;1;1
16YV;1;0;1;7;7;7
16YV;2;1;1;9;9;7
16YV;4;7;7;1;9;7
16ZK;0;7;7;7;1;0
16ZK;1;1;1;1;7;7
16ZK;2;1;1;1;7;7
17AA;0;9;1;1;1;0
17AA;2;0;1;9;7;7
17AN;0;7;7;7;1;1
17AN;1;0;1;0;7;7
17AY;0;7;7;0;1;1
17AY;4;0;1;7;7;7
17BI;0;1;1;1;1;1
17BI;2;7;7;1;7;7
17BZ;0;7;7;1;1;0
17BZ;2;7;7;1;9;9
17BZ;3;7;7;1;7;7
17BZ;4;1;1;0;0;9
17CK;0;7;7;1;1;1
17CK;1;7;7;1;9;9
17CR;0;7;7;0;0;0
17CR;1;7;7;7;9;9
17DD;0;1;1;1;1;1
17DN;0;1;1;1;1;1
17DN;1;7;9;9;7;7
17GM;0;1;1;1;1;1
17GM;2;1;0;1;9;9
17GT;0;7;7;1;1;1
17GT;2;1;1;1;7;7
17HB;0;7;7;7;1;1
17HB;3;7;7;1;7;7
17HB;6;9;1;7;7;7
17HB;7;6;6;7;7;7
17HH;0;7;7;1;7;7
17HN;0;7;7;1;1;1
17HN;2;1;1;1;7;7
17HR;0;7;7;1;7;7
17HR;2;7;7;7;1;1
17HR;5;1;1;9;7;7
17HX;0;7;7;1;7;7
17IM;0;7;7;1;1;1
17IM;1;7;7;1;1;7
17IM;2;1;1;1;7;7
17IM;4;7;7;7;7;7
17IR;0;1;1;1;1;1
17IR;1;7;7;7;7;7
17JB;0;7;7;1;1;0
17JB;1;1;1;1;7;7
17JB;2;1;1;1;7;7
17JB;3;7;7;1;1;9
17JY;0;7;7;7;7;1
