brin;vestnr;samens;llns;nvests;samena1;samena2;samena3;samena4;samena5;samena6;samenb1;samenb2;samenb3;samenb4;samenb5;samenb6;aanbod1;aanbod2;perccat1;klcomb1a;percsam1;klcomb1g;renondb;renonbol;renoncat;blpop;blphond;blpond;klpbov;klphbov;klpop;klphond;klpond;gtpbov;gtphbov;gtpop;gtphond;gtpond;hapbov;haphbov;hapop;haphond;hapond;vwpbov;vwphbov;vwpop;bl1e3e;kl1e3e;gt1e3e;ha1e3e;vw1e3e;BaOnv;KaOnv;GtOnv;HaOnv;VwOnv;BAonvbol;KAonvbol;GTonvbol;HAonvbol;VWonvbol;BAtotcec;KAtotcec;GTtotcec;HAtotcec;VWtotcec;BAtotbol;KAtotbol;GTtotbol;HAtotbol;VWtotbol;BAnedcec;KAnedcec;GTnedcec;HAnedcec;VWnedcec;BAnedbol;KAnedbol;GTnedbol;HAnedbol;VWnedbol;BAmvtcec;KAmvtcec;GTmvtcec;HAmvtcec;VWmvtcec;BAmvtbol;KAmvtbol;GTmvtbol;HAmvtbol;VWmvtbol;BAzaacec;KAzaacec;GTzaacec;HAzaacec;VWzaacec;BAzaabol;KAzaabol;GTzaabol;HAzaabol;VWzaabol;BAecocec;KAecocec;GTecocec;HAecocec;VWecocec;BAecobol;KAecobol;GTecobol;HAecobol;VWecobol;BAexacec;KAexacec;GTexacec;HAexacec;VWexacec;BAexabol;KAexabol;GTexabol;HAexabol;VWexabol;VWklacec;VWklabol;Basectec;Basectlb;Basecttk;Basectzw;Kasectec;Kasectlb;Kasecttk;Kasectzw;HaprofCM;HaprofEM;HaprofNG;HaprofNT;VwprofCM;VwprofEM;VwprofNG;VwprofNT
00CB;2;LWOO, VMBO, HAVO, VWO;1731 leerlingen;3 vestigingen;421 leerlingen, waarvan:;- 38% in de eerste twee leerjaren;- 27% VMBO vanaf leerjaar 3;- 14% HAVO vanaf leerjaar 3;- 14% VWO vanaf leerjaar 3;-  6% in gemengd leerjaar 3;114 leerlingen VMBO vanaf leerjaar 3;(incl. 29 leerlingen LWOO), waarvan:;- 100% theoretische leerweg; ; ; ;De onderbouwgegevens in de kolom HAVO betreffen leerlingen die in het derde leerjaar HAVO/VWO-onderwijs volgen.; ;25;VMBO (g)t;75;VMBO (g)t/HAVO/VWO;116,160049627792;5;VMBO (g)t/HAVO/VWO; ; ; ; ; ; ; ; ;32;11;30;16;11;28;20;28;12;12; ; ; ; ; ;92;96; ; ; ; ; ;37,0726109838893; ; ; ; ;1; ; ; ;6,72677165354331;6,8825; ; ; ;5;5; ; ; ;6,50555555555556;6,98; ; ; ;5;5; ; ; ;6,91612903225806;6,66666666666667; ; ; ;5;5; ; ; ;6,54090909090909; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6,6;6,85925925925926; ; ; ;4;5; ; ; ; ; ; ; ; ; ; ;42;19;17;22;38;13;29;21
00DI;0;LWOO, VMBO, HAVO, VWO;2266 leerlingen;4 vestigingen;632 leerlingen, waarvan:;- 30% in de eerste twee leerjaren;- 70% VMBO vanaf leerjaar 3; ; ; ;441 leerlingen VMBO vanaf leerjaar 3;(incl. 47 leerlingen LWOO), waarvan:;- 22% basisberoepsgerichte leerweg;- 44% kaderberoepsgerichte leerweg;- 34% theoretische leerweg; ; ; ;54;VMBO b, VMBO (g)t;46;VMBO b/VMBO k;77,6639344262295;1;VMBO-breed en VMBO-breed/HAVO;33;67;0;0;8;0;82;10;0;18;0;66;16; ; ; ; ; ; ; ; ;100;95;100; ; ;92,16;82,4208106579711;91,5191365775575; ; ;3;3;3; ; ;6,47169811320754;6,16778711484593;6,29351464435146; ; ;3;3;3; ; ;6,35384615384616;6,05365853658537;5,58815789473684; ; ;3;3;1; ; ;6,88809523809524;6,47065217391304;6,50438596491228; ; ;3;3;3; ; ; ;5,82333333333334;6,27575757575758; ; ; ;2;3; ; ; ;5,47826086956522;6,15423728813559; ; ; ;1;3; ; ;6,40144927536232;6,22692307692308;6,4889502762431; ; ;3;3;4; ; ; ; ;18; ;43;40;16; ;17;67; ; ; ; ; ; ; ; 
00DI;1;LWOO, VMBO, HAVO, VWO;2266 leerlingen;4 vestigingen;356 leerlingen, waarvan:;- 62% in de eerste twee leerjaren;- 38% VMBO vanaf leerjaar 3; ; ; ;136 leerlingen VMBO vanaf leerjaar 3, waarvan:;-  1% gemengde leerweg;- 99% theoretische leerweg; ; ; ; ; ;92;VMBO b, VMBO k, VMBO (g)t;8;VMBO (g)t/HAVO;104,076086956522;3;VMBO-breed en VMBO-breed/HAVO; ; ; ;8;0;81;0;11;17;0;76;0;7; ; ; ; ; ; ; ; ; ;100;95; ; ; ; ;94,1189574515482; ; ; ; ;4; ; ; ; ;6,37188940092166; ; ; ; ;4; ; ; ; ;6,30434782608696; ; ; ; ;4; ; ; ; ;6,66893203883495; ; ; ; ;4; ; ; ; ;6,20178571428571; ; ; ; ;3; ; ; ; ;5,66440677966102; ; ; ; ;2; ; ; ; ;6,54421768707483; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
00DI;2;LWOO, VMBO, HAVO, VWO;2266 leerlingen;4 vestigingen;1061 leerlingen, waarvan:;- 41% in de eerste twee leerjaren;- 38% HAVO vanaf leerjaar 3;- 22% VWO vanaf leerjaar 3; ; ; ; ; ; ; ; ; ; ;11;VWO;89;VMBO (g)t/HAVO, HAVO/VWO;88,0681818181818;1;VMBO (g)t/HAVO/VWO; ; ; ; ; ; ; ; ; ; ; ; ; ;0;2;0;98;0;0;100;0; ; ; ;95;100; ; ; ;62,4597606144583;48,6113370838382; ; ; ;3;2; ; ; ;6,4048404840484;6,37266982622433; ; ; ;4;3; ; ; ;6,17164179104478;6,06666666666667; ; ; ;3;2; ; ; ;6,20682926829268;6,12993630573248; ; ; ;3;3; ; ; ;5,99298245614036;6,1578125; ; ; ;2;3; ; ; ;6,53010752688172;6,62372881355932; ; ; ;3;3; ; ; ;6,84425087108014;6,49032258064516; ; ; ;5;3;7,56842105263158;5; ; ; ; ; ; ; ; ;12;43;29;16;14;23;37;26
00DI;3;LWOO, VMBO, HAVO, VWO;2266 leerlingen;4 vestigingen;215 leerlingen, waarvan:;- 62% in de eerste twee leerjaren;- 38% VMBO vanaf leerjaar 3; ; ; ;82 leerlingen VMBO vanaf leerjaar 3;(incl. 1 leerling LWOO), waarvan:;- 100% theoretische leerweg; ; ; ; ; ;57;VMBO b, VMBO (g)t;43;VMBO b/VMBO k, VMBO (g)t/HAVO;93,8953488372093;2;VMBO-breed en VMBO-breed/HAVO; ; ; ;0;0;68;0;32;33;0;67;0;0; ; ; ; ; ; ; ; ; ;95;94; ; ; ; ;100; ; ; ; ;5; ; ; ; ;6,44581497797357; ; ; ; ;4; ; ; ; ;6,06470588235294; ; ; ; ;3; ; ; ; ;6,924; ; ; ; ;5; ; ; ; ;5,86923076923077; ; ; ; ;3; ; ; ; ;6; ; ; ; ;3; ; ; ; ;6,72361111111111; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
00EF;0;LWOO, VMBO;251 leerlingen;1 vestiging;251 leerlingen, waarvan:;- 47% in de eerste twee leerjaren;- 53% VMBO vanaf leerjaar 3; ; ; ;134 leerlingen VMBO vanaf leerjaar 3;(incl. 53 leerlingen LWOO), waarvan:;- 45% basisberoepsgerichte leerweg;- 55% kaderberoepsgerichte leerweg; ; ; ; ;85;VMBO b, VMBO k;15;VMBO b/VMBO k;92,340848806366;1;VMBO bk;67;17;17;12;12;35;0;41; ; ; ; ; ; ; ; ; ; ; ; ; ;100;100; ; ; ;95,0625;67,3767361111111; ; ; ;5;2; ; ; ;5,95357142857143;5,82453987730061; ; ; ;2;3; ; ; ;5,95;5,54; ; ; ;2;2; ; ; ;6,575;6,68; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ;5,42857142857143;5,355; ; ; ;2;2; ; ; ;5,74166666666667;5,22142857142857; ; ; ;2;2; ; ; ; ; ;100; ; ; ;100; ; ; ; ; ; ; ; ; ; ; 
00HI;0;LWOO, VMBO, HAVO, VWO;1500 leerlingen;2 vestigingen;1140 leerlingen, waarvan:;- 39% in de eerste twee leerjaren;-  9% VMBO vanaf leerjaar 3;- 26% HAVO vanaf leerjaar 3;- 26% VWO vanaf leerjaar 3; ;101 leerlingen VMBO vanaf leerjaar 3, waarvan:;- 100% theoretische leerweg; ; ; ; ; ; ;0;geen;100;VMBO (g)t/HAVO/VWO;101,756756756757;3;VMBO (g)t/HAVO/VWO; ; ; ; ; ; ; ; ;0;0;54;25;21;17;17;39;17;11;15;32;52; ; ;92;99;100; ; ;77,2277424364839;73,1821112990907;70,281548256163; ; ;2;5;4; ; ;5,94188481675393;5,81436699857752;6,21251819505094; ; ;2;1;3; ; ;5,4344262295082;5,28773584905661;6,10232558139535; ; ;1;1;3; ; ;6,33;5,92179487179487;6,20114942528735; ; ;3;3;3; ; ;5,75;5,93636363636364;5,7463768115942; ; ;2;2;2; ; ;5,68372093023256;5,93802816901408;5,91521739130435; ; ;2;2;2; ; ;5,96274509803922;5,92440476190476;6,21924882629108; ; ;3;2;3;6,72142857142857;3; ; ; ; ; ; ; ; ;18;60;16;6;27;24;29;20
00HI;3;LWOO, VMBO, HAVO, VWO;1500 leerlingen;2 vestigingen;360 leerlingen, waarvan:;- 47% in de eerste twee leerjaren;- 53% VMBO vanaf leerjaar 3; ; ; ;190 leerlingen VMBO vanaf leerjaar 3;(incl. 66 leerlingen LWOO), waarvan:;- 51% basisberoepsgerichte leerweg;- 49% kaderberoepsgerichte leerweg; ; ; ; ;0;geen;100;VMBO b/VMBO k;102,370689655172;3;VMBO bk;75;0;25;27;0;57;0;17; ; ; ; ; ; ; ; ; ; ; ; ; ;100;100; ; ; ;83,7828584682941;75,235415783456; ; ; ;3;2; ; ; ;6,21078431372549;6,13148148148148; ; ; ;3;3; ; ; ;6,09803921568627;5,84074074074074; ; ; ;2;3; ; ; ;6,84067796610169;6,58181818181818; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ;5,7078431372549;5,85; ; ; ;2;3; ; ; ;6,07674418604651;6,15952380952381; ; ; ;3;4; ; ; ; ; ;100; ; ; ;100; ; ; ; ; ; ; ; ; ; ; 
00IP;0;VMBO, HAVO, VWO;963 leerlingen;1 vestiging;963 leerlingen, waarvan:;- 32% in de eerste twee leerjaren;- 17% VMBO vanaf leerjaar 3;- 30% HAVO vanaf leerjaar 3;- 21% VWO vanaf leerjaar 3; ;165 leerlingen VMBO vanaf leerjaar 3, waarvan:;- 100% theoretische leerweg; ; ; ; ; ; ;48;VMBO (g)t, VWO;52;VMBO (g)t/HAVO, HAVO/VWO;98,9655172413793;3;VMBO (g)t/HAVO/VWO; ; ; ; ; ; ; ; ;0;0;74;11;15;24;4;65;0;8;40;3;58; ; ;76;94;100; ; ;79,2182409550754;68,5521560242102;74,8656083158527; ; ;2;4;4; ; ;6,10416088765603;6,21676646706587;6,05822784810127; ; ;3;3;2; ; ;5,84259259259259;5,94421052631579;6,154; ; ;3;3;3; ; ;6,26964285714286;6,20155038759689;5,87916666666667; ; ;3;3;2; ; ;6,325;5,999;5,45666666666667; ; ;4;3;1; ; ;6,04578313253012;7,23809523809524;6,26538461538461; ; ;3;5;3; ; ;5,99469026548673;6,12191780821918;6,24068965517242; ; ;3;3;3;5,84166666666667;2; ; ; ; ; ; ; ; ;9;46;27;18;5;27;35;33
00JR;0;HAVO, VWO;1330 leerlingen;1 vestiging;1330 leerlingen, waarvan:;- 38% in de eerste twee leerjaren;- 32% HAVO vanaf leerjaar 3;- 30% VWO vanaf leerjaar 3; ; ; ; ; ; ; ; ; ; ;21;VWO;79;HAVO/VWO;100,540540540541;3;HAVO/VWO; ; ; ; ; ; ; ; ; ; ; ; ; ;0;18;51;25;6;18;24;57; ; ; ;92;99; ; ; ;71,9860091446128;62,9938554040072; ; ; ;5;3; ; ; ;6,09933829611249;6,0346201743462; ; ; ;3;2; ; ; ;5,98089887640449;6,26237623762376; ; ; ;3;3; ; ; ;5,89545454545454;5,65609756097561; ; ; ;3;1; ; ; ;6,02775119617225;6,11025641025641; ; ; ;3;3; ; ; ;6,64017857142857;6,19661016949153; ; ; ;3;3; ; ; ;6,22819767441861;6,02938775510204; ; ; ;3;2; ; ; ; ; ; ; ; ; ; ;18;41;28;12;19;31;26;24
00JT;0;LWOO, VMBO, HAVO, VWO;1833 leerlingen;3 vestigingen;1356 leerlingen, waarvan:;- 43% in de eerste twee leerjaren;- 29% HAVO vanaf leerjaar 3;- 28% VWO vanaf leerjaar 3; ; ; ; ; ; ; ; ; ; ;33;VMBO k, VMBO (g)t, VWO;67;VMBO (g)t/HAVO, VMBO (g)t/HAVO/VWO, HAVO/VWO;111,981566820276;5;VMBO-breed/HAVO/VWO; ; ; ; ; ; ; ; ; ; ; ; ; ;9;28;44;12;8;32;20;48; ; ; ;100;99; ; ; ;76,5178668998467;79,1649519677759; ; ; ;5;5; ; ; ;6,13352601156069;6,37903682719547; ; ; ;3;3; ; ; ;5,85185185185185;6,14943820224719; ; ; ;2;3; ; ; ;5,91315789473684;6,25112359550562; ; ; ;3;3; ; ; ;6,34818181818182;6,22567567567567; ; ; ;3;3; ; ; ;6,66507936507936;6,76875; ; ; ;3;4; ; ; ;6,03659793814433;6,62046511627907; ; ; ;2;3;6,10434782608696;3; ; ; ; ; ; ; ; ;14;52;16;19;24;26;30;19
00JT;2;LWOO, VMBO, HAVO, VWO;1833 leerlingen;3 vestigingen;349 leerlingen, waarvan:;- 25% in de eerste twee leerjaren;- 75% VMBO vanaf leerjaar 3; ; ; ;261 leerlingen VMBO vanaf leerjaar 3;(incl. 63 leerlingen LWOO), waarvan:;- 19% basisberoepsgerichte leerweg;- 43% kaderberoepsgerichte leerweg;- 38% theoretische leerweg; ; ; ;0;geen;100;VMBO;103,187747242867;3;VMBO-breed en VMBO-breed/HAVO;87;7;7;17;17;50;2;14;5;3;73;13;8; ; ; ; ; ; ; ; ;100;100;100; ; ;96,5814506539834;82,3459710276143;92,3482630162615; ; ;3;3;4; ; ;6,37712418300654;6,3595744680851;6,22704402515724; ; ;3;4;3; ; ;6,49736842105263;6,26382978723404;6,48026315789474; ; ;3;3;5; ; ;6,33947368421053;6,46808510638298;6,15819672131147; ; ;2;3;2; ; ; ; ;5,85535714285714; ; ; ; ;2; ; ; ; ;6,10133333333333; ; ; ; ;3; ; ;6,18360655737705;6,29473684210526;6,35810810810811; ; ;3;3;3; ; ; ; ;13; ;33;54;16; ;41;43; ; ; ; ; ; ; ; 
00JT;3;LWOO, VMBO, HAVO, VWO;1833 leerlingen;3 vestigingen;128 leerlingen, waarvan:;- 56% in de eerste twee leerjaren;- 26% VMBO vanaf leerjaar 3;-  9% HAVO vanaf leerjaar 3;-  9% VWO vanaf leerjaar 3; ;33 leerlingen VMBO vanaf leerjaar 3, waarvan:;- 100% theoretische leerweg; ; ; ; ; ; ;0;geen;100;VMBO, HAVO/VWO;112,5;5;VMBO-breed/HAVO/VWO; ; ; ; ; ; ; ; ;19;14;52;5;10;9;18;64;0;9;58;0;42; ; ;100;100;100; ; ;82,6446280991736; ; ; ; ;3; ; ; ; ;6,18348623853211; ; ; ; ;3; ; ; ; ;5,76666666666667; ; ; ; ;3; ; ; ; ;5,8875; ; ; ; ;1; ; ; ; ;6,53157894736842; ; ; ; ;5; ; ; ; ;5,95; ; ; ; ;3; ; ; ; ;6,39285714285714; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
