brin;vestnr;samens;llns;nvests;samena1;samena2;samena3;samena4;samena5;samena6;samenb1;samenb2;samenb3;samenb4;samenb5;samenb6;aanbod1;aanbod2;perccat1;klcomb1a;percsam1;klcomb1g;renondb;renonbol;renoncat;blpop;blphond;blpond;klpbov;klphbov;klpop;klphond;klpond;gtpbov;gtphbov;gtpop;gtphond;gtpond;hapbov;haphbov;hapop;haphond;hapond;vwpbov;vwphbov;vwpop;bl1e3e;kl1e3e;gt1e3e;ha1e3e;vw1e3e;BaOnv;KaOnv;GtOnv;HaOnv;VwOnv;BAonvbol;KAonvbol;GTonvbol;HAonvbol;VWonvbol;BAtotcec;KAtotcec;GTtotcec;HAtotcec;VWtotcec;BAtotbol;KAtotbol;GTtotbol;HAtotbol;VWtotbol;BAnedcec;KAnedcec;GTnedcec;HAnedcec;VWnedcec;BAnedbol;KAnedbol;GTnedbol;HAnedbol;VWnedbol;BAmvtcec;KAmvtcec;GTmvtcec;HAmvtcec;VWmvtcec;BAmvtbol;KAmvtbol;GTmvtbol;HAmvtbol;VWmvtbol;BAzaacec;KAzaacec;GTzaacec;HAzaacec;VWzaacec;BAzaabol;KAzaabol;GTzaabol;HAzaabol;VWzaabol;BAecocec;KAecocec;GTecocec;HAecocec;VWecocec;BAecobol;KAecobol;GTecobol;HAecobol;VWecobol;BAexacec;KAexacec;GTexacec;HAexacec;VWexacec;BAexabol;KAexabol;GTexabol;HAexabol;VWexabol;VWklacec;VWklabol;Basectec;Basectlb;Basecttk;Basectzw;Kasectec;Kasectlb;Kasecttk;Kasectzw;HaprofCM;HaprofEM;HaprofNG;HaprofNT;VwprofCM;VwprofEM;VwprofNG;VwprofNT
00AH;0;LWOO, VMBO, HAVO, VWO;3396 leerlingen;5 vestigingen;1225 leerlingen, waarvan:;- 46% in de eerste twee leerjaren;- 27% HAVO vanaf leerjaar 3;- 27% VWO vanaf leerjaar 3; ; ; ; ; ; ; ; ; ; ;5;VWO;95;VMBO, VMBO/HAVO/VWO;100,641527957919;3;VMBO-breed/HAVO/VWO;40;0;60;15;0;46;0;38;2;0;77;0;21;23;0;56;0;21;41;0;59;100;100;90;95;99; ; ; ;57,4810696548952;54,066467765157; ; ; ;3;3; ; ; ;5,90309278350515;6,12978723404256; ; ; ;2;3; ; ; ;5,51456310679611;6,03698630136986; ; ; ;1;3; ; ; ;5,89366197183098;6,10902255639098; ; ; ;3;3; ; ; ;5,81935483870968;5,49387755102041; ; ; ;2;1; ; ; ;6,35714285714286;5,90967741935484; ; ; ;3;2; ; ; ;6,234375;6,32829268292683; ; ; ;3;3;7,012;4; ; ; ; ; ; ; ; ;18;43;23;17;14;23;42;21
00AH;7;LWOO, VMBO, HAVO, VWO;3396 leerlingen;5 vestigingen;1011 leerlingen, waarvan:;- 45% in de eerste twee leerjaren;- 31% HAVO vanaf leerjaar 3;- 25% VWO vanaf leerjaar 3; ; ; ; ; ; ; ; ; ; ;0;geen;100;VMBO, VMBO/HAVO/VWO;98,2758620689655;3;VMBO-breed/HAVO/VWO;50;0;50;10;0;46;0;44;9;0;50;0;41;18;0;56;0;26;46;0;54;100;100;100;100;100; ; ; ;50,4216664587788;53,154094065021; ; ; ;3;3; ; ; ;6,09737931034483;6,23315315315315; ; ; ;3;3; ; ; ;5,84259259259259;6,29558823529412; ; ; ;3;4; ; ; ;6,23459119496855;6,30277777777778; ; ; ;4;4; ; ; ;6,0747572815534;5,76229508196721; ; ; ;3;2; ; ; ;6,11875;6,23611111111111; ; ; ;3;3; ; ; ;6,23921568627451;6,55418994413408; ; ; ;3;4; ; ; ; ; ; ; ; ; ; ;22;43;19;16;17;25;33;25
00AH;8;LWOO, VMBO, HAVO, VWO;3396 leerlingen;5 vestigingen;265 leerlingen, waarvan:;- 100% in de eerste twee leerjaren; ; ; ; ; ; ; ; ; ; ; ; ;0;geen;100;VMBO, VMBO/HAVO/VWO;89,5380434782608;1;VMBO-breed/HAVO/VWO;47;0;53;22;0;27;0;51;16;0;42;0;42;31;0;69;0;0; ; ; ;100;100;100;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
00AH;9;LWOO, VMBO, HAVO, VWO;3396 leerlingen;5 vestigingen;74 leerlingen, waarvan:;- 100% in de eerste twee leerjaren; ; ; ; ; ; ; ; ; ; ; ; ;0;geen;100;VMBO, VMBO/HAVO/VWO;81,6666666666667;1;VMBO-breed/HAVO/VWO;83;0;17; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;67; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
00AH;17;LWOO, VMBO, HAVO, VWO;3396 leerlingen;5 vestigingen;741 leerlingen, waarvan:;- 100% VMBO vanaf leerjaar 3; ; ; ; ;741 leerlingen VMBO vanaf leerjaar 3;(incl. 214 leerlingen LWOO), waarvan:;- 24% basisberoepsgerichte leerweg;- 37% kaderberoepsgerichte leerweg;-  7% gemengde leerweg;- 32% theoretische leerweg; ; ; ;Niet van toepassing; ;Niet van toepassing; ; ;nvt; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;84,6559423831039;82,611573553719;64,1765485707641; ; ;3;3;1; ; ;6,15809523809524;5,88090909090909;5,59967637540454; ; ;3;3;1; ; ;6,14186046511628;5,81272727272727;5,24154929577465; ; ;3;3;1; ; ;7,09036144578313;6,57563025210084;5,91709401709401; ; ;4;3;2; ; ; ; ;5,66115702479339; ; ; ; ;3; ; ;5,13333333333333;5,655;5,4629213483146; ; ;1;3;2; ; ;5,67913043478261;5,49509202453988;5,41046931407942; ; ;2;3;1; ; ; ; ;27; ;44;29;26; ;40;34; ; ; ; ; ; ; ; 
00AQ;0;LWOO, VMBO, HAVO, VWO;1105 leerlingen;1 vestiging;1105 leerlingen, waarvan:;- 42% in de eerste twee leerjaren;- 24% VMBO vanaf leerjaar 3;- 22% HAVO vanaf leerjaar 3;- 13% VWO vanaf leerjaar 3; ;261 leerlingen VMBO vanaf leerjaar 3;(incl. 41 leerlingen LWOO), waarvan:;- 23% basisberoepsgerichte leerweg;- 27% kaderberoepsgerichte leerweg;- 50% theoretische leerweg; ; ; ;0;geen;100;VMBO b/VMBO k, VMBO (g)t/HAVO, HAVO/VWO;104,823549566012;3;VMBO-breed/HAVO/VWO;52;0;48;30;0;41;0;30;13;0;67;0;20;42;0;45;0;13;53;0;47;100;100;93;100;100;70,5128048293152;77,9428169525627;80,718994140625;57,8530268197198;72,9951166165175;1;2;3;3;4;6,45185185185185;6,33923076923077;6,10148883374691;6,17251356238698;6,88244047619048;3;4;3;3;5;6,47407407407407;6,29032258064516;5,4484375;5,8641975308642;6,91627906976744;3;3;1;3;5;6,67777777777778;6,51891891891892;6,4584;6,15642857142857;6,84698795180723;3;3;3;3;5; ; ;6,20277777777778;5,99012345679012;6,3; ; ;3;2;3; ; ;5,95555555555556;6,178;6,856; ; ;3;2;4;6,42608695652174;6,23529411764706;6,10084745762712;6,34794520547945;6,96666666666666;3;3;3;3;5;7,0875;4;24; ;38;38;26; ;35;39;26;43;15;16;14;33;19;35
00BD;0;VMBO, HAVO, VWO;1189 leerlingen;2 vestigingen;1048 leerlingen, waarvan:;- 29% in de eerste twee leerjaren;- 22% VMBO vanaf leerjaar 3;- 23% HAVO vanaf leerjaar 3;- 26% VWO vanaf leerjaar 3; ;226 leerlingen VMBO vanaf leerjaar 3, waarvan:;-  5% basisberoepsgerichte leerweg;- 34% kaderberoepsgerichte leerweg;- 61% theoretische leerweg; ; ; ; ;0;geen;100;VMBO/HAVO/VWO;101,739556905241;3;VMBO-breed/HAVO/VWO; ; ; ;11;14;39;11;25;21;2;33;26;19;5;50;29;13;3;13;44;44; ;94;87;95;98; ;82,728637880891;78,2286644857668;50,8748456437622;62,3253421446324; ;3;2;2;3; ;5,9;5,93361344537816;6,08235294117647;6,19096774193549; ;2;2;3;3; ;5,70243902439024;5,32222222222222;5,80540540540541;5,99827586206897; ;1;1;2;2; ;6,20731707317073;6,31709401709402;5,62455089820359;5,91666666666666; ;3;3;1;2; ; ;5,72857142857143;5,98659793814433;6,12424242424242; ; ;2;2;3; ;6,19375;5,93846153846154;6,35;6,6025641025641; ;3;3;3;3; ;5,76060606060606;5,9198275862069;6,72663043478261;6,46732026143791; ;2;2;5;3;5,77727272727273;2; ; ; ; ;39; ;32;29;18;50;20;12;17;25;37;20
00BD;2;VMBO, HAVO, VWO;1189 leerlingen;2 vestigingen;141 leerlingen, waarvan:;- 70% in de eerste twee leerjaren;- 20% HAVO vanaf leerjaar 3;- 11% VWO vanaf leerjaar 3; ; ; ; ; ; ; ; ; ; ;0;geen;100;VMBO/HAVO/VWO;106,770833333333;4;VMBO-breed/HAVO/VWO; ; ; ; ; ; ; ; ;0;20;50;20;10;4;44;40;12;0;55;45;0; ; ;100;84;100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
00CB;0;LWOO, VMBO, HAVO, VWO;1731 leerlingen;3 vestigingen;663 leerlingen, waarvan:;- 48% in de eerste twee leerjaren;- 18% VMBO vanaf leerjaar 3;- 15% HAVO vanaf leerjaar 3;- 19% VWO vanaf leerjaar 3; ;121 leerlingen VMBO vanaf leerjaar 3;(incl. 42 leerlingen LWOO), waarvan:;- 100% theoretische leerweg; ; ; ; ; ;11;VMBO (g)t;89;VMBO (g)t/HAVO/VWO;113,151041666667;5;VMBO (g)t/HAVO/VWO; ; ; ; ; ; ; ; ;0;50;31;14;6;14;38;24;10;14;15;31;54; ; ;100;100;100; ; ; ;33,2260996896478;72,4442268206615; ; ; ;1;4; ; ; ;6,76988416988417;6,55648148148148; ; ; ;5;4; ; ; ;7,58648648648649;6,93333333333333; ; ; ;5;5; ; ; ;6,49122807017544;6,06440677966102; ; ; ;5;3; ; ; ;6,17142857142857;6,644; ; ; ;3;5; ; ; ;6,55714285714286;6,67142857142857; ; ; ;3;4; ; ; ;6,78615384615385;6,578125; ; ; ;5;3; ; ; ; ; ; ; ; ; ; ;26;37;18;18;2;50;7;41
00CB;1;LWOO, VMBO, HAVO, VWO;1731 leerlingen;3 vestigingen;647 leerlingen, waarvan:;- 32% in de eerste twee leerjaren;- 18% VMBO vanaf leerjaar 3;- 16% HAVO vanaf leerjaar 3;- 19% VWO vanaf leerjaar 3;- 15% in gemengd leerjaar 3;117 leerlingen VMBO vanaf leerjaar 3;(incl. 38 leerlingen LWOO), waarvan:;- 100% theoretische leerweg; ; ; ;De onderbouwgegevens in de kolom HAVO betreffen leerlingen die in het derde leerjaar HAVO/VWO-onderwijs volgen.; ;8;VMBO (g)t;92;VMBO (g)t/HAVO/VWO;117,982456140351;5;VMBO (g)t/HAVO/VWO; ; ; ; ; ; ; ; ;41;0;59;0;0;22;15;22;12;29; ; ; ; ; ;100;100; ; ; ; ; ;36,9641074236455; ; ; ; ;1; ; ; ;6,56937269372694;6,58674033149171; ; ; ;5;4; ; ; ;6,49487179487179;7,08695652173913; ; ; ;5;5; ; ; ;6,51621621621622;6,65052631578947; ; ; ;5;5; ; ; ;6,27540983606557;6,51020408163265; ; ; ;3;4; ; ; ;6,79285714285714;6,66; ; ; ;4;3; ; ; ;6,79019607843137;6,33; ; ; ;5;3; ; ; ; ; ; ; ; ; ; ;47;33;16;5;43;9;7;41
