Field,Type,Original term,Description
"municipality","string","","Municipality"
"municipality_code","integer","","Municipality Code"
"city","string","","City"
"zip_code","string","","The zip code where these pupils live."
"year_1","integer","","Year 1"
"year_2","integer","","Year 2"
"year_3","integer","","Year 3"
"year_4","integer","","Year 4"
"year_5","integer","","Year 5"
"year_6","integer","","Year 6"
