Field,Type,Original term,Description
"corop_area","string","`COROP-gebied`_","A COROP area in the Netherlands is a region consisting of several municipalities, and is primarily used by research institutions to present statistical data."
"corop_area_code","integer","","Identifier of the corop_area."
"education_area","string","`Onderwijsgebied`_","Education areas are aggregations of nodal areas based on regional origins and destinations of students in secondary education."
"education_area_code","integer","","Identifier of the education_area."
"nodal_area","string","`Nodaal gebied`_","Area defined for the planning of distribution of secondary schools."
"nodal_area_code","integer","","Identifier of the nodal_area."
"rmc_region","string","`Rmc-regio`_","Area that is used for the coordination of school dropouts."
"rmc_region_code","integer","","Identifier of the rmc_region."
"rpa_area","string","`Rpa-gebied`_","Area defined to cluster information on the labour market."
"rpa_area_code","integer","","Identifier of the rpa_area."
"wgr_area","string","`Wgr-gebied`_","Cluster of municipalities per collaborating region according to the 'Wet gemeenschappelijke regelingen' [#wgr_law]_."
"wgr_area_code","integer","","Identifier of the wgr_area."
"brin","string","","'Basis Registratie Instellingen-nummer', identifier of the institution. Alphanumeric, four characters long."
"board_id","integer","","Identifier (assigned by :ref:`duodata`) of the board of this institution."
"correspondence_address",":ref:`duo-Address`","","Correspondence address of this institution."
"denomination","string","","Denomination"
"municipality","string","","Municipality"
"municipality_code","integer","","Municipality Code"
"address",":ref:`duo-Address`","","Address of this institution."
"name","string","","Name of the institution."
"phone","string","","Phone number of the institution."
"mbo_institution_kind","string","","Mbo Institution Kind"
"mbo_institution_kind_code","string","","Mbo Institution Kind Code"
"website","string","","Website of this institution."
"qualifications","array of :ref:`duo-qualifications`","","Qualifications"
"qualifications_reference_url","string","","Qualifications Reference Url"
"qualifications_reference_date","date","","Qualifications Reference Date"
"participants_per_qualification","array of :ref:`duo-participants_per_qualification`","","Participants Per Qualification"
"participants_per_qualification_reference_url","string","","URL of the source file."
"participants_per_qualification_reference_date","date","","Date the source file was published at http://data.duo.nl"
"participants_per_grade_year_and_qualification","array of :ref:`duo-participants_per_grade_year_and_qualification`","","Participants Per Grade Year And Qualification"
"participants_per_grade_year_and_qualification_reference_url","string","","URL of the source file."
"participants_per_grade_year_and_qualification_reference_date","date","","Date the source file was published at http://data.duo.nl"
"graduates_per_qualification","array of :ref:`duo-graduates_per_qualification`","","Graduates Per Qualification"
"graduates_per_qualification_reference_url","string","","URL of the source file."
"graduates_per_qualification_reference_date","date","","Date the source file was published at http://data.duo.nl"
