Field,Type,Original term,Description
"address",":ref:`duo-Address`","","Address of this branch."
"correspondence_address",":ref:`duo-Address`","","Correspondence address of this branch."
"name","string","","Name of the school."
"branch_id","integer","","Identifier (assigned by :ref:`duodata`) of this branch."
"board_id","integer","","Identifier (assigned by :ref:`duodata`) of the board of this branch."
"brin","string","","'Basis Registratie Instellingen-nummer', identifier of the school this branch belongs to. Alphanumeric, four characters long."
"corop_area","string","`COROP-gebied`_","A COROP area in the Netherlands is a region consisting of several municipalities, and is primarily used by research institutions to present statistical data."
"corop_area_code","integer","","Identifier of the corop_area."
"denomination","string","","In the Netherlands, schools can be based on a (religious [#denomination]_) conviction, which is denoted here."
"education_area","string","Onderwijsgebied","Education areas are aggregations of nodal areas based on regional origins and destinations of students in secondary education."
"education_area_code","integer","","Identifier of the education_area."
"municipality","string","","The name of the municipality this branch is located in."
"municipality_code","integer","","Identifier (assigned by CBS [#cbs]_) to this municipality."
"nodal_area","string","`Nodaal gebied`_","Area defined for the planning of distribution of secondary schools."
"nodal_area_code","integer","","Identifier of the nodal_area."
"phone","string","","Phone number of the school."
"province","string","","The province [#provinces]_ this branch is situated in."
"rmc_region","string","`Rmc-regio`_","Area that is used for the coordination of school dropouts."
"rmc_region_code","integer","","Identifier of the rmc_region."
"rpa_area","string","`Rpa-gebied`_","Area defined to cluster information on the labour market."
"rpa_area_code","integer","","Identifier of the rpa_area."
"wgr_area","string","`Wgr-gebied`_","Cluster of municipalities per collaborating region according to the 'Wet gemeenschappelijke regelingen' [#wgr_law]_."
"wgr_area_code","integer","","Identifier of the wgr_area."
"website","string","","Website of this school."
"reference_year","integer","Peiljaar","Year the schools source file was published."
"ages_per_branch_by_student_weight",":ref:`duo-AgesByStudentWeight`","","Ages Per Branch By Student Weight"
"ages_per_branch_by_student_weight_reference_date","date","","Date the ages per branch by student weight source file was published at http://data.duo.nl"
"ages_per_branch_by_student_weight_reference_url","string","","URL of the ages per branch by student weight source file."
"pupils_by_origins_reference_date","date","","Pupils By Origins Reference Date"
"pupils_by_origins_reference_url","string","","Pupils By Origins Reference Url"
"pupil_residences_reference_date","date","","Pupil Residences Reference Date"
"pupil_residences_reference_url","string","","Pupil Residences Reference Url"
"weights_per_school","array of :ref:`duo-weights_per_school`","","Weights Per School"
"weights_per_school_reference_date","date","","Weights Per School Reference Date"
"weights_per_school_reference_url","string","","Weights Per School Reference Url"
"student_year_reference_date","date","","Student Year Reference Date"
"student_year_reference_url","string","","Student Year Reference Url"
"spo_law","string","","Spo Law"
"spo_edu_type","string","","Spo Edu Type"
"spo_cluster","integer","","Spo Cluster"
"spo_students_by_birthyear_reference_url","string","","URL of the source file."
"spo_students_by_birthyear_reference_date","date","","Date the source file was published at http://data.duo.nl"
"spo_students_by_birthyear","array of :ref:`duo-spo_students_by_birthyear`","","Spo Students By Birthyear"
"spo_students_by_edu_type_reference_url","string","","URL of the source file."
"spo_students_by_edu_type_reference_date","date","","Date the source file was published at http://data.duo.nl"
"spo_students_by_edu_type","array of :ref:`duo-spo_students_by_edu_type`","","Spo Students By Edu Type"
"students_by_advice_reference_url","string","","URL of the source file."
"students_by_advice_reference_date","date","","Date the source file was published at http://data.duo.nl"
"students_by_advice","array of :ref:`duo-students_by_advice`","","Students By Advice"
"students_in_BRON_reference_url","string","","Students In Bron Reference Url"
"students_in_BRON_reference_date","date","","Students In Bron Reference Date"
"students_by_year","array of :ref:`duo-students_by_year`","","Students By Year"
"students_by_year_reference_url","string","","Students By Year Reference Url"
"students_by_year_reference_date","date","","Students By Year Reference Date"
