Field,Type,Original term,Description
"qualification_code","integer","Kwalificatie Code",""
"mbo_type","string","Type Mbo",""
"qualification_level","integer","Kwalificatie Niveau",""
"qualification_name","string","Kwalificatie Naam",""
"mbo_sector","string","Mbo Sector",""
"mbo_industry","string","Bedrijfstak Mbo",""
"brin_knowledge_centre_mbo","string","Brin Nummer Kenniscentrum","Brin code of the knowledge center associated with this institution"
"knowledge_centre_mbo","string","Naam Kenniscentrum","Name of the knowledge center associated with this institution"
